StockCode,Description,Quantity,TotalPrice,Average_Daily_Demand,Lead_Time_Demand,Safety_Stock,Reorder_Point,Current_Stock,Reorder_Quantity,Status
10002,INFLATABLE POLITICAL GLOBE ,7796,6057.72,20.90080428954424,146.30563002680967,62.70241286863271,209.0080428954424,112,97.00804289544236,Reorder
10080,GROOVY CACTUS INFLATABLE,12,10.2,0.032171581769437,0.225201072386059,0.096514745308311,0.3217158176943699,445,0.0,Sufficient
10109,BENDY COLOUR PENCILS,4,1.68,0.0107238605898123,0.0750670241286863,0.032171581769437,0.1072386058981233,358,0.0,Sufficient
10120,DOGGY RUBBER,471,98.91,1.262734584450402,8.839142091152814,3.7882037533512074,12.62734584450402,280,0.0,Sufficient
10123C,HEARTS WRAPPING TAPE ,624,224.16000000000005,1.672922252010724,11.710455764075068,5.018766756032171,16.72922252010724,116,0.0,Sufficient
10123G,ARMY CAMO WRAPPING TAPE,2246,157.18,6.021447721179625,42.15013404825737,18.064343163538872,60.21447721179624,81,0.0,Sufficient
10124A,SPOTS ON RED BOOKCOVER TAPE,46,19.32,0.1233243967828418,0.8632707774798928,0.3699731903485255,1.2332439678284182,198,0.0,Sufficient
10124G,ARMY CAMO BOOKCOVER TAPE,20,8.4,0.0536193029490616,0.3753351206434316,0.1608579088471849,0.5361930294906166,30,0.0,Sufficient
10125,MINI FUNKY DESIGN TAPES,788,669.8,2.1126005361930296,14.788203753351208,6.337801608579088,21.126005361930297,112,0.0,Sufficient
10133,COLOURING PENCILS BROWN TUBE,967,799.85,2.5924932975871315,18.14745308310992,7.777479892761395,25.924932975871315,131,0.0,Sufficient
10134,COLOURING PENCILS BROWN TUBE,612,702.3,1.6407506702412868,11.485254691689008,4.92225201072386,16.407506702412867,476,0.0,Sufficient
10135,COLOURING PENCILS BROWN TUBE,1982,2302.7,5.313672922252011,37.19571045576408,15.941018766756034,53.13672922252012,224,0.0,Sufficient
10138,ASSORTED COLOUR JUMBO PEN,247,103.74,0.6621983914209115,4.6353887399463805,1.9865951742627344,6.621983914209115,340,0.0,Sufficient
11001,ASSTD DESIGN RACING CAR PEN,3070,4738.62,8.230563002680965,57.61394101876675,24.691689008042893,82.30563002680964,468,0.0,Sufficient
15030,FAN BLACK FRAME ,111,32.19,0.2975871313672922,2.0831099195710454,0.8927613941018766,2.975871313672922,97,0.0,Sufficient
15034,PAPER POCKET TRAVELING FAN ,3425,462.7000000000001,9.182305630026809,64.27613941018767,27.546916890080425,91.82305630026808,382,0.0,Sufficient
15036,ASSORTED COLOURS SILK FAN,19202,12784.88,51.479892761394105,360.3592493297587,154.43967828418232,514.798927613941,109,405.798927613941,Reorder
15039,SANDALWOOD FAN,2603,1729.35,6.978552278820375,48.84986595174263,20.935656836461128,69.78552278820376,369,0.0,Sufficient
15044A,PINK PAPER PARASOL ,4472,11573.2,11.989276139410189,83.92493297587131,35.96782841823057,119.89276139410188,161,0.0,Sufficient
15044B,BLUE PAPER PARASOL ,1319,3516.65,3.5361930294906165,24.75335120643432,10.60857908847185,35.361930294906166,140,0.0,Sufficient
15044C,PURPLE PAPER PARASOL,592,1652.0000000000002,1.5871313672922251,11.109919571045577,4.761394101876675,15.871313672922252,159,0.0,Sufficient
15044D,RED PAPER PARASOL,915,2520.05,2.453083109919571,17.171581769436997,7.359249329758713,24.53083109919571,318,0.0,Sufficient
15056BL,EDWARDIAN PARASOL BLACK,6663,31183.85,17.863270777479894,125.04289544235924,53.58981233243968,178.63270777479892,267,0.0,Sufficient
15056N,EDWARDIAN PARASOL NATURAL,7201,34044.75,19.30563002680965,135.13941018766758,57.91689008042896,193.05630026809652,353,0.0,Sufficient
15056P,EDWARDIAN PARASOL PINK,1722,7881.1,4.616621983914209,32.316353887399465,13.849865951742627,46.166219839142094,423,0.0,Sufficient
15058A,BLUE WHITE SPOTS GARDEN PARASOL,271,1394.45,0.7265415549597856,5.085790884718499,2.1796246648793565,7.265415549597855,303,0.0,Sufficient
15058B,PINK WHITE SPOTS GARDEN PARASOL,186,1054.7,0.4986595174262734,3.4906166219839143,1.4959785522788205,4.986595174262735,395,0.0,Sufficient
15058C,ICE CREAM DESIGN GARDEN PARASOL,220,1069.0,0.5898123324396782,4.128686327077748,1.7694369973190347,5.898123324396783,201,0.0,Sufficient
15059A,ENGLISH ROSE EDWARDIAN PARASOL,505,1515.0,1.353887399463807,9.47721179624665,4.061662198391421,13.53887399463807,453,0.0,Sufficient
