Customer ID,Recency,Frequency,Monetary,Cluster,PCA1,PCA2,DBSCAN_Cluster
18102.0,1,89,349164.35,2,32.75099385974993,13.654479888989018,-1
14646.0,10,78,248396.5,2,24.43298514142766,9.742684159468167,-1
14156.0,7,102,196549.74,2,22.655252733678697,8.132477039258372,-1
14911.0,1,205,152121.22,2,28.02483251808271,8.04236186219216,-1
13694.0,9,94,131443.19,2,17.219505564120624,5.554010965571705,-1
17511.0,3,31,84541.17,3,8.551314804581,2.706509153190233,-1
15061.0,3,86,83284.38,3,13.050546854831602,3.5413507731604787,-1
16684.0,15,27,80489.21,3,7.87994213339014,2.6041213595021104,-1
16754.0,8,29,65500.07,3,6.974783914792799,2.0003463971207145,-1
17949.0,7,74,60117.6,3,10.34099269740804,2.5086309077263307,-1
13089.0,4,109,57885.45,3,13.109684683851963,2.9566978282963072,-1
15311.0,1,121,55942.74,3,13.979612252972876,3.0466933985711644,-1
17450.0,3,7,52422.3,3,4.199133594467604,1.1032167706022675,-1
17850.0,8,155,51208.87,3,16.447582870142945,3.480060453306908,-1
12931.0,16,42,50291.38,3,6.920346076937881,1.709091838707257,-1
13093.0,9,48,47111.18,3,7.212648113052897,1.6173862786623912,-1
16029.0,8,47,41184.3,3,6.699184572224138,1.366924186982564,-1
15838.0,3,16,40519.92,3,4.080018387662904,0.7961964042583951,-1
14298.0,11,38,39667.19,3,5.82667442315461,1.193842155407791,-1
13798.0,8,54,38683.02,3,7.100598661579434,1.3843754888577415,-1
