Customer ID,Recency,Frequency,Monetary,Cluster,PCA1,PCA2,DBSCAN_Cluster
12346.0,165,11,372.86,1,0.17110214556314401,0.7522125294090314,0
12347.0,3,2,1323.32,0,0.045012227897104205,-0.9150824404009243,0
12348.0,74,1,222.16,0,-0.36252799080734494,-0.28965643076178876,0
12349.0,43,3,2671.14,0,0.08984476742405303,-0.4629952024754246,0
12351.0,11,1,300.93,0,-0.1406690297785091,-0.8929206856738889,0
12352.0,11,2,343.8,0,-0.0540588123882832,-0.8752491055101017,0
12353.0,44,1,317.76,0,-0.2526328500738343,-0.5747218804813053,0
12355.0,203,1,488.21,1,-0.7855602120136028,0.9618070441389469,0
12356.0,16,3,3560.3,0,0.24748062289727288,-0.6890935444747651,0
12357.0,24,2,12079.99,0,0.7595886641465097,-0.3050218303536458,0
12358.0,11,3,2719.01,0,0.2031098045809009,-0.7691170351080019,0
12359.0,61,6,2563.36,0,0.2706463029995266,-0.24573140351406053,0
12360.0,15,5,1590.83,0,0.27383864478735886,-0.7413229921738372,0
12361.0,98,3,321.35,0,-0.2706473045869578,-0.02285006494694179,0
12362.0,374,1,130.0,1,-1.3983088621604387,2.5937616042912626,0
12366.0,269,1,500.24,1,-1.01106960234181,1.5973842765329747,0
12368.0,264,1,917.7,1,-0.963391068732642,1.5651023853609982,0
12369.0,49,3,1791.15,0,0.004912392232950189,-0.43863300486773993,0
12370.0,260,3,774.62,1,-0.7931831362974047,1.55327473044505,0
12371.0,45,3,2179.42,0,0.047026193426747735,-0.46239896322026014,0
12373.0,260,2,763.0500000000001,1,-0.8775044601700381,1.5367902899540633,0
12374.0,57,3,2246.29,0,0.010754577952325383,-0.34438619384337865,0
12376.0,25,2,503.15,0,-0.09042786470418138,-0.7344826848381206,0
12377.0,17,2,1798.2,0,0.0317171235558361,-0.7623486657047037,0
12378.0,198,1,1407.7,1,-0.7011694351891987,0.9485660389074168,0
12379.0,58,2,767.98,0,-0.18425604307097915,-0.40687778894731036,0
12380.0,101,7,6951.49,0,0.5378093808801898,0.321668058648233,0
12385.0,15,1,1938.4,0,-0.03464535000337475,-0.7923228959865892,0
12386.0,2,1,258.9,0,-0.11287133933573888,-0.9811221942722905,0
12387.0,51,1,143.94,0,-0.28935485425868684,-0.51395317402252,0
12388.0,81,2,1120.45,0,-0.2373739384950459,-0.1721793506301735,0
12389.0,38,3,1433.33,0,0.016477397746795224,-0.5580578184460031,0
12391.0,100,5,2285.18,0,0.03305304651329973,0.10297097898081355,0
12392.0,227,1,234.75000000000003,1,-0.8864184451992452,1.1831469445122533,0
12393.0,18,2,816.85,0,-0.043476773450931996,-0.7899460527208255,0
12395.0,7,4,2048.64,0,0.2512830532427782,-0.816989247833039,0
12396.0,310,1,931.43,1,-1.1201733799735878,2.0082831976746225,0
12399.0,21,3,853.65,0,0.03239914514953382,-0.7436355596151801,0
12400.0,50,1,205.25,0,-0.2814412637032186,-0.5212508663854155,0
12402.0,28,5,1031.3,0,0.18832976981637334,-0.6374451425012408,0
12403.0,157,1,591.6600000000001,1,-0.6202088099614278,0.5230706096802347,0
12404.0,318,1,63.24,1,-1.2111031258400118,2.052339032877677,0
12406.0,35,3,2975.06,0,0.1395108089718876,-0.5284525489618997,0
12408.0,21,3,1452.22,0,0.07617112575097998,-0.7209331253037389,0
12409.0,56,4,12346.62,0,0.8362727288974119,0.04511952271991832,0
12410.0,138,1,320.38,0,-0.57487423807081,0.3299437076962204,0
12411.0,45,1,346.9,0,-0.2539320502565795,-0.5639936199585123,0
12412.0,38,3,1370.05,0,0.01184988395148388,-0.5604578886854538,0
12413.0,38,1,241.35,0,-0.23763970044903626,-0.6353582117332793,0
12414.0,99,3,390.0,0,-0.2690572337511703,-0.010623277635895005,0
12415.0,11,7,19543.84,0,1.7673699987806832,-0.06680603489918466,0
12416.0,292,1,202.56,1,-1.1117313993781028,1.8074239653845796,0
12417.0,46,11,3148.31,0,0.7822505458598656,-0.2876631385331587,0
12418.0,49,3,1352.62,0,-0.02715624911752211,-0.45526547645601917,0
12419.0,21,2,503.01,0,-0.07671755012917146,-0.7729801741910366,0
12421.0,51,2,291.56,0,-0.1950845219813107,-0.49230865837228427,0
12422.0,30,14,4428.24,0,1.181156662881519,-0.34495009838300467,0
12423.0,23,2,763.08,0,-0.06455953442709123,-0.7438702053954701,0
12424.0,58,2,1579.07,0,-0.12494298737819974,-0.3761149417520503,0
12425.0,84,1,964.21,0,-0.34256504491265694,-0.1652816691904885,0
12426.0,298,1,762.48,1,-1.0913666287252304,1.8863987599974386,0
12427.0,7,1,303.5,0,-0.12676053943887694,-0.9313153907292556,0
12429.0,1,5,3735.51,0,0.4786958546540031,-0.7947026582029363,0
12431.0,9,13,4370.52,0,1.1654934010995261,-0.5652688483359132,0
12433.0,2,5,7205.39,0,0.7290096730565861,-0.6534747504663703,0
12434.0,17,1,297.29,0,-0.1615160428564467,-0.8353204736170479,0
